City,Country,Continent,Season,Budget,Budget_min,Budget_avg,Budget_max,Tags,Activities,Activity 1,Activity 2,Style,Type,is_coastal,FullText
Kathmandu,Nepal,Asia,winter,120-200 USD,120,160,200,nightlife,"hiking trails, enjoying nightlife",hiking trails,enjoying nightlife,"vibrant, solo-friendly","city,nature",False,"Kathmandu, Nepal. Type: city,nature. Best season: winter. Activities: hiking trails, enjoying nightlife. Style: vibrant, solo-friendly. Budget: 120-200 USD. Tags: nightlife."
Kazan,Russia,Europe,autumn,80-120 USD,80,100,120,nature,"tasting local cuisine, enjoying nightlife",tasting local cuisine,enjoying nightlife,"peaceful, outdoors, lively","city,nature",False,"Kazan, Russia. Type: city,nature. Best season: autumn. Activities: tasting local cuisine, enjoying nightlife. Style: peaceful, outdoors, lively. Budget: 80-120 USD. Tags: nature."
Krakow,Poland,Europe,spring,30-50 USD,30,40,50,historical,"visiting museums, relaxing on the beach",visiting museums,relaxing on the beach,"historical, family-friendly","coastal,culture",True,"Krakow, Poland. Type: coastal,culture. Best season: spring. Activities: visiting museums, relaxing on the beach. Style: historical, family-friendly. Budget: 30-50 USD. Tags: historical."
Kyoto,Japan,Asia,summer,80-120 USD,80,100,120,mountains,"discovering historical sites, exploring local markets",discovering historical sites,exploring local markets,"adventurous, family-friendly","culture,nature",False,"Kyoto, Japan. Type: culture,nature. Best season: summer. Activities: discovering historical sites, exploring local markets. Style: adventurous, family-friendly. Budget: 80-120 USD. Tags: mountains."
La Paz,Bolivia,South America,summer,120-200 USD,120,160,200,historical,"visiting museums, exploring local markets",visiting museums,exploring local markets,"historical, lively",culture,False,"La Paz, Bolivia. Type: culture. Best season: summer. Activities: visiting museums, exploring local markets. Style: historical, lively. Budget: 120-200 USD. Tags: historical."
Lima,Peru,South America,summer,50-80 USD,50,65,80,mountains,"discovering historical sites, exploring local markets",discovering historical sites,exploring local markets,"adventurous, family-friendly","culture,nature",False,"Lima, Peru. Type: culture,nature. Best season: summer. Activities: discovering historical sites, exploring local markets. Style: adventurous, family-friendly. Budget: 50-80 USD. Tags: mountains."
Ljubljana,Slovenia,Europe,autumn,80-120 USD,80,100,120,nightlife,"enjoying nightlife, discovering historical sites",enjoying nightlife,discovering historical sites,"vibrant, lively","city,culture",False,"Ljubljana, Slovenia. Type: city,culture. Best season: autumn. Activities: enjoying nightlife, discovering historical sites. Style: vibrant, lively. Budget: 80-120 USD. Tags: nightlife."
Marrakech,Morocco,Africa,autumn,80-120 USD,80,100,120,historical,"tasting local cuisine, enjoying nightlife",tasting local cuisine,enjoying nightlife,"historical, family-friendly","city,culture",False,"Marrakech, Morocco. Type: city,culture. Best season: autumn. Activities: tasting local cuisine, enjoying nightlife. Style: historical, family-friendly. Budget: 80-120 USD. Tags: historical."
Medellin,Colombia,South America,autumn,30-50 USD,30,40,50,romantic,"tasting local cuisine, hiking trails",tasting local cuisine,hiking trails,family-friendly,nature,False,"Medellin, Colombia. Type: nature. Best season: autumn. Activities: tasting local cuisine, hiking trails. Style: family-friendly. Budget: 30-50 USD. Tags: romantic."
Melbourne,Australia,Oceania,spring,30-50 USD,30,40,50,historical,"enjoying nightlife, tasting local cuisine",enjoying nightlife,tasting local cuisine,"historical, solo-friendly","city,culture",False,"Melbourne, Australia. Type: city,culture. Best season: spring. Activities: enjoying nightlife, tasting local cuisine. Style: historical, solo-friendly. Budget: 30-50 USD. Tags: historical."
Merida,Mexico,North America,autumn,80-120 USD,80,100,120,nightlife,"hiking trails, exploring local markets",hiking trails,exploring local markets,"vibrant, solo-friendly","city,nature",False,"Merida, Mexico. Type: city,nature. Best season: autumn. Activities: hiking trails, exploring local markets. Style: vibrant, solo-friendly. Budget: 80-120 USD. Tags: nightlife."
Miami,USA,North America,winter,120-200 USD,120,160,200,urban,"tasting local cuisine, discovering historical sites",tasting local cuisine,discovering historical sites,"urban, solo-friendly","city,culture",False,"Miami, USA. Type: city,culture. Best season: winter. Activities: tasting local cuisine, discovering historical sites. Style: urban, solo-friendly. Budget: 120-200 USD. Tags: urban."
Milwaukee,USA,North America,spring,30-50 USD,30,40,50,culture,"tasting local cuisine, exploring local markets",tasting local cuisine,exploring local markets,"cultural, romantic",culture,False,"Milwaukee, USA. Type: culture. Best season: spring. Activities: tasting local cuisine, exploring local markets. Style: cultural, romantic. Budget: 30-50 USD. Tags: culture."
Minneapolis,USA,North America,winter,50-80 USD,50,65,80,historical,"enjoying nightlife, hiking trails",enjoying nightlife,hiking trails,"historical, solo-friendly","city,culture,nature",False,"Minneapolis, USA. Type: city,culture,nature. Best season: winter. Activities: enjoying nightlife, hiking trails. Style: historical, solo-friendly. Budget: 50-80 USD. Tags: historical."
Montevideo,Uruguay,South America,spring,30-50 USD,30,40,50,nature,"discovering historical sites, tasting local cuisine",discovering historical sites,tasting local cuisine,"peaceful, outdoors, lively","culture,nature",False,"Montevideo, Uruguay. Type: culture,nature. Best season: spring. Activities: discovering historical sites, tasting local cuisine. Style: peaceful, outdoors, lively. Budget: 30-50 USD. Tags: nature."
Muscat,Oman,Asia,autumn,80-120 USD,80,100,120,romantic,"exploring local markets, enjoying nightlife",exploring local markets,enjoying nightlife,lively,city,False,"Muscat, Oman. Type: city. Best season: autumn. Activities: exploring local markets, enjoying nightlife. Style: lively. Budget: 80-120 USD. Tags: romantic."
Nara,Japan,Asia,autumn,80-120 USD,80,100,120,mountains,"relaxing on the beach, tasting local cuisine",relaxing on the beach,tasting local cuisine,"adventurous, solo-friendly","coastal,nature",True,"Nara, Japan. Type: coastal,nature. Best season: autumn. Activities: relaxing on the beach, tasting local cuisine. Style: adventurous, solo-friendly. Budget: 80-120 USD. Tags: mountains."
New Orleans,USA,North America,winter,120-200 USD,120,160,200,romantic,"hiking trails, tasting local cuisine",hiking trails,tasting local cuisine,lively,nature,False,"New Orleans, USA. Type: nature. Best season: winter. Activities: hiking trails, tasting local cuisine. Style: lively. Budget: 120-200 USD. Tags: romantic."
Orlando,USA,North America,autumn,120-200 USD,120,160,200,culture,"tasting local cuisine, discovering historical sites",tasting local cuisine,discovering historical sites,"cultural, lively",culture,False,"Orlando, USA. Type: culture. Best season: autumn. Activities: tasting local cuisine, discovering historical sites. Style: cultural, lively. Budget: 120-200 USD. Tags: culture."
Paris,France,Europe,winter,50-80 USD,50,65,80,romantic,"hiking trails, visiting museums",hiking trails,visiting museums,lively,"culture,nature",False,"Paris, France. Type: culture,nature. Best season: winter. Activities: hiking trails, visiting museums. Style: lively. Budget: 50-80 USD. Tags: romantic."
Phoenix,USA,North America,autumn,120-200 USD,120,160,200,gastronomy,"tasting local cuisine, hiking trails",tasting local cuisine,hiking trails,"foodie, romantic",nature,False,"Phoenix, USA. Type: nature. Best season: autumn. Activities: tasting local cuisine, hiking trails. Style: foodie, romantic. Budget: 120-200 USD. Tags: gastronomy."
Podgorica,Montenegro,Europe,autumn,120-200 USD,120,160,200,nightlife,"relaxing on the beach, hiking trails",relaxing on the beach,hiking trails,"vibrant, romantic","city,coastal,nature",True,"Podgorica, Montenegro. Type: city,coastal,nature. Best season: autumn. Activities: relaxing on the beach, hiking trails. Style: vibrant, romantic. Budget: 120-200 USD. Tags: nightlife."
Prague,Czech Republic,Europe,winter,80-120 USD,80,100,120,historical,"visiting museums, tasting local cuisine",visiting museums,tasting local cuisine,"historical, romantic",culture,False,"Prague, Czech Republic. Type: culture. Best season: winter. Activities: visiting museums, tasting local cuisine. Style: historical, romantic. Budget: 80-120 USD. Tags: historical."
Puebla,Mexico,North America,spring,50-80 USD,50,65,80,nightlife,"visiting museums, discovering historical sites",visiting museums,discovering historical sites,"vibrant, solo-friendly","city,culture",False,"Puebla, Mexico. Type: city,culture. Best season: spring. Activities: visiting museums, discovering historical sites. Style: vibrant, solo-friendly. Budget: 50-80 USD. Tags: nightlife."
Quito,Ecuador,South America,winter,50-80 USD,50,65,80,historical,"exploring local markets, enjoying nightlife",exploring local markets,enjoying nightlife,"historical, lively","city,culture",False,"Quito, Ecuador. Type: city,culture. Best season: winter. Activities: exploring local markets, enjoying nightlife. Style: historical, lively. Budget: 50-80 USD. Tags: historical."
Raleigh,USA,North America,spring,30-50 USD,30,40,50,mountains,"tasting local cuisine, discovering historical sites",tasting local cuisine,discovering historical sites,"adventurous, romantic","culture,nature",False,"Raleigh, USA. Type: culture,nature. Best season: spring. Activities: tasting local cuisine, discovering historical sites. Style: adventurous, romantic. Budget: 30-50 USD. Tags: mountains."
Reykjavik,Iceland,Europe,winter,120-200 USD,120,160,200,culture,"relaxing on the beach, discovering historical sites",relaxing on the beach,discovering historical sites,"cultural, solo-friendly","coastal,culture",True,"Reykjavik, Iceland. Type: coastal,culture. Best season: winter. Activities: relaxing on the beach, discovering historical sites. Style: cultural, solo-friendly. Budget: 120-200 USD. Tags: culture."
Riga,Latvia,Europe,spring,80-120 USD,80,100,120,gastronomy,"tasting local cuisine, exploring local markets",tasting local cuisine,exploring local markets,"foodie, lively",,False,"Riga, Latvia. Best season: spring. Activities: tasting local cuisine, exploring local markets. Style: foodie, lively. Budget: 80-120 USD. Tags: gastronomy."
Riyadh,Saudi Arabia,Asia,spring,120-200 USD,120,160,200,nature,"discovering historical sites, enjoying nightlife",discovering historical sites,enjoying nightlife,"peaceful, outdoors, family-friendly","city,culture,nature",False,"Riyadh, Saudi Arabia. Type: city,culture,nature. Best season: spring. Activities: discovering historical sites, enjoying nightlife. Style: peaceful, outdoors, family-friendly. Budget: 120-200 USD. Tags: nature."
Rostov-on-Don,Russia,Europe,autumn,50-80 USD,50,65,80,culture,"exploring local markets, relaxing on the beach",exploring local markets,relaxing on the beach,"cultural, romantic","coastal,culture",True,"Rostov-on-Don, Russia. Type: coastal,culture. Best season: autumn. Activities: exploring local markets, relaxing on the beach. Style: cultural, romantic. Budget: 50-80 USD. Tags: culture."
San Francisco,USA,North America,winter,120-200 USD,120,160,200,romantic,"tasting local cuisine, exploring local markets",tasting local cuisine,exploring local markets,family-friendly,,False,"San Francisco, USA. Best season: winter. Activities: tasting local cuisine, exploring local markets. Style: family-friendly. Budget: 120-200 USD. Tags: romantic."
San Jose,Costa Rica,North America,spring,120-200 USD,120,160,200,historical,"discovering historical sites, exploring local markets",discovering historical sites,exploring local markets,"historical, family-friendly",culture,False,"San Jose, Costa Rica. Type: culture. Best season: spring. Activities: discovering historical sites, exploring local markets. Style: historical, family-friendly. Budget: 120-200 USD. Tags: historical."
San Juan,Puerto Rico,North America,summer,80-120 USD,80,100,120,gastronomy,"hiking trails, discovering historical sites",hiking trails,discovering historical sites,"foodie, romantic","culture,nature",False,"San Juan, Puerto Rico. Type: culture,nature. Best season: summer. Activities: hiking trails, discovering historical sites. Style: foodie, romantic. Budget: 80-120 USD. Tags: gastronomy."
San Miguel de Allende,Mexico,North America,winter,120-200 USD,120,160,200,gastronomy,"relaxing on the beach, discovering historical sites",relaxing on the beach,discovering historical sites,"foodie, solo-friendly","coastal,culture",True,"San Miguel de Allende, Mexico. Type: coastal,culture. Best season: winter. Activities: relaxing on the beach, discovering historical sites. Style: foodie, solo-friendly. Budget: 120-200 USD. Tags: gastronomy."
Sarajevo,Bosnia and Herzegovina,Europe,spring,80-120 USD,80,100,120,historical,"exploring local markets, discovering historical sites",exploring local markets,discovering historical sites,"historical, romantic",culture,False,"Sarajevo, Bosnia and Herzegovina. Type: culture. Best season: spring. Activities: exploring local markets, discovering historical sites. Style: historical, romantic. Budget: 80-120 USD. Tags: historical."
Seoul,South Korea,Asia,spring,80-120 USD,80,100,120,gastronomy,"relaxing on the beach, enjoying nightlife",relaxing on the beach,enjoying nightlife,"foodie, romantic","city,coastal",True,"Seoul, South Korea. Type: city,coastal. Best season: spring. Activities: relaxing on the beach, enjoying nightlife. Style: foodie, romantic. Budget: 80-120 USD. Tags: gastronomy."
Seville,Spain,Europe,autumn,120-200 USD,120,160,200,urban,"visiting museums, exploring local markets",visiting museums,exploring local markets,"urban, romantic","city,culture",False,"Seville, Spain. Type: city,culture. Best season: autumn. Activities: visiting museums, exploring local markets. Style: urban, romantic. Budget: 120-200 USD. Tags: urban."
Shanghai,China,Asia,winter,120-200 USD,120,160,200,culture,"visiting museums, exploring local markets",visiting museums,exploring local markets,"cultural, family-friendly",culture,False,"Shanghai, China. Type: culture. Best season: winter. Activities: visiting museums, exploring local markets. Style: cultural, family-friendly. Budget: 120-200 USD. Tags: culture."
Singapore,Singapore,Asia,winter,120-200 USD,120,160,200,gastronomy,"enjoying nightlife, tasting local cuisine",enjoying nightlife,tasting local cuisine,"foodie, lively",city,False,"Singapore, Singapore. Type: city. Best season: winter. Activities: enjoying nightlife, tasting local cuisine. Style: foodie, lively. Budget: 120-200 USD. Tags: gastronomy."
Skopje,North Macedonia,Europe,autumn,120-200 USD,120,160,200,mountains,"enjoying nightlife, exploring local markets",enjoying nightlife,exploring local markets,"adventurous, romantic","city,nature",False,"Skopje, North Macedonia. Type: city,nature. Best season: autumn. Activities: enjoying nightlife, exploring local markets. Style: adventurous, romantic. Budget: 120-200 USD. Tags: mountains."
